2016-06-13 17:27:51,021 [AWT-EventQueue-0] INFO - com.puzzle.gui.MainFrame.run(1418) | 启动成功
2016-06-13 17:29:51,638 [AWT-EventQueue-0] INFO - com.puzzle.gui.MainFrame.run(1418) | 启动成功
2016-06-13 17:32:18,184 [AWT-EventQueue-0] INFO - com.puzzle.gui.MainFrame.run(1418) | 启动成功
2016-06-13 17:34:25,826 [AWT-EventQueue-0] INFO - com.puzzle.gui.MainFrame.run(1418) | 启动成功
2016-06-13 17:35:07,841 [AWT-EventQueue-0] INFO - com.puzzle.gui.MainFrame.run(1418) | 启动成功
2016-06-13 17:35:42,867 [AWT-EventQueue-0] INFO - com.puzzle.gui.MainFrame.run(1418) | 启动成功
2016-06-13 17:37:57,653 [AWT-EventQueue-0] INFO - com.puzzle.gui.MainFrame.run(1418) | 启动成功
2016-06-13 17:40:28,055 [AWT-EventQueue-0] INFO - com.puzzle.gui.MainFrame.run(1438) | 启动成功
2016-06-13 17:41:35,986 [AWT-EventQueue-0] INFO - com.puzzle.gui.MainFrame.run(1445) | 启动成功
2016-06-13 17:45:12,238 [AWT-EventQueue-0] INFO - com.puzzle.gui.MainFrame.run(1445) | 启动成功
2016-06-13 17:45:52,084 [AWT-EventQueue-0] INFO - com.puzzle.gui.MainFrame.run(1418) | 启动成功
2016-06-13 17:47:28,804 [AWT-EventQueue-0] INFO - com.puzzle.gui.MainFrame.run(1418) | 启动成功
2016-06-13 18:05:48,737 [AWT-EventQueue-0] INFO - com.puzzle.gui.MainFrame.run(1418) | 启动成功
2016-06-13 18:05:54,734 [AWT-EventQueue-0] INFO - com.puzzle.gui.MainFrame.run(1418) | 启动成功
